Atleta
LUCAS BAUER
ROSA LAISSA
MOHR PAULA
ABREU TIFANNY
GOES VIVIANE
FERREIRA ADENIZIA
MALACHIAS KARYNA
BRUNO REZENDE
SANTOS TAINARA
BORTOLASO ISIS
LUCAS SILVA
BRUNO TEMPONI
CARNEIRO MACRIS
ERIC ENDRES
SANMARTIN JULIA
DOUGLAS PUREZA
INGRID FELIX
BONARDI LETICIA
MARIANNE STEINBRECHER
RENAN GONCALVES
LUIZ FELIPE PANTALEAO
NOBRE LARA
RIOS NAIANE
LEANDRO SILVEIRA
DRAPALSKI JESSICA
SILVA ANA CAROLINA
LIMA LAIS
