Membro
ISABELLA LETICIA NUNES ROCHA
KATIA LARISSA MACHADO DA SILVA
TALIA COSTA
PEDRO HENRIQUE DOS SANTOS SOUSA
GABRIEL SOARES PESSOA
JENNA CAMILLE GRAY
EVELYN VITORIA CARVALHO CASSIANO
MATHEUS SOUZA FERREIRA
JOAO PEDRO GAMEIRO DE REZENDE CENTOLA
NELMAIRA CAROLINA VALDEZ POL
JESSICA EUDA DANTAS DE MOURA
ENDRIU GOUVEIA KAZMIRSKI
CELSO DA SILVA JUNIOR
FRANCINE TOMAZONI
JULIANA CARDOSO PERDIGAO
PEDRO RAMALHO SILVA
JULIANA SANTOS CARRIJO
MOISES DE OLIVEIRA ANDRADE
FELIPE CAPUTI VARELA
MARIANA ALVES CASSEMIRO
GUILHERME SCHMITZ VIEIRA
ADRIA JULIA DA SILVA
GUILHERME AMORIM DA SILVA SOUZA
LAIS DA CRUZ DE LIMA
TIFANNY PEREIRA DE ABREU
JOAO CORDEIRO FRANCK
WENNDER CARLOS LOURENCO LOPES
ROGERIO BATISTA DE CARVALHO FILHO
NATÁLIA PERREIRA DE ARAUJO LIMA
SABRINA LEANDRO GROTH
MATEUS KONRAD BENDER
KARINA BARBOSA DE SOUZA
MATHEUS PEREIRA CELESTINO GOMES
LAIZA KELLY FIGUEIREDO FERREIRA
ANA CLARA MACHADO MEDINA
MARIANA BRAMBILLA
LETICIA STEFHANE BARBOSA CRUZ
ANNIE VALENTINE MITCHEM
JUCIELY CRISTINA SILVA
GUILHERME LIBERAL EMINA
KAROLINE TORMENA
MAIARA CRISTINA BASSO
MILKA MARCILIA MEDEIROS DA SILVA
VICTORIA CASTELLIES MAISONNETTE DAVID
NICOLA NEGRO
LEONARDO HENRIQUE PINHEIRO
THIAGO PONTES VELOSO
THAINA KIARELLE EXPEDITA SOUZA
MATEUS ANTONIO WINCK PEREIRA
MATHEUS PASSARELLI BENTO
GABRIEL HENRIQUE GONCALVES OSTAPECHEN
JOS ELSON KAISER EPIFANIO
ADENIZIA FERREIRA DA SILVA
REINALDO DE OUTEIRO DA SILVA
BRIE JOY KING
JHEOVANA EMANUELE SEBASTIAO
SABRINA DE JESUS MACHADO
VICTOR MARCELO DOS SANTOS
AMANDA KAROLINE SANTANA MARQUES
GIOVANA GUIMARAES PIRES
GABRIEL BIELER DA SILVA VIRIATO DE MEDEIROS
MARIO CESAR QUESADA CRUZ
JONATAS WESLEI SANTOS CARDOSO
ANGELO ANIBAL VERCESI
LUCAS CARNEIRO BORGES
ANDRE HENRIQUE GONCALVES SALIBA
GUSTAVO CARDOSO
CLAIRE DAVIS FELIX
NANDYALA SANTOS DA ROCHA GAMA
FABIANO PRETURLON RIBEIRO
LUANA CAMILA KUSKOWSKI
Eduardo Horacio Dileo
TALITA JOSE DO NASCIMENTO
VALENTINO GNEWUCH DE ABREU
JOAO LUCAS DOS SANTOS FONSECA
RENAN DA COSTA BONORA
DAVI MENEGHELLI
NAIANE DE ALMEIDA RIOS
MAXILLAM DO NASCIMENTO DE LIMA
LEONARDO RYUDI SILVA KIHARA
VIVIAN MARIA PELLEGRINO
DANIEL MUNIZ DE OLIVEIRA
BRUNO LIMA BASOLU
CAROLINA GROSSI DE SOUZA SANTOS
WILSON DE PAULA TOBIAS DA SILVA
ANA LUIZA BERTO AROSTI
LORENNE MARIA GERALDO TEIXEIRA
DARA FERNANDA HENDGES
FELIPE LOURENCO LEAL
NATALIA PEREIRA DANIELSKI
WILLIAN ROSAS ENGELAGE
MICHEL DE SOUZA SARAIVA
GABRIELLA GUIMARAES DE SOUZA
THAISA DAHER DE MENEZES
MILENA VILELA BANKS MIRANDA
BEATRIZ MARTINS
GABRIEL SCHEFFER DE ALMEIDA
JOAO VICTTOR SOARES CORNELSEN
VITTORIA ELENA KUEHNE
KELLY GOMES DE SOUZA
MAICON JOSE LEITE COSTA
IVNA FRANCO MARRA COLOMBO DO NASCIMENTO
KAREN BEATRIZ MOREIRA DOS ANJOS
LUCAS SAATKAMP
LUIS CLAUDIO RODRIGUES DA SILVA
MARIA LUIZA RABELO MUNDO
JULIANA BEATRIZ PALHANO DA SILVA
NICOLAS URIARTE
PAULO VINICIOS FERREIRA DA SILVA
FELIPE DE BRITO FERREIRA
TIAGO BRENDLE
PEDRO HENRIQUE OLIVEIRA RODRIGUES SOUZA
MATHEUS BANDINI
GUSTAVO ANDRE ORLANDO
LARA NOBRE CARDOSO GONCALVES FILOMENO
RAFAEL HENRIQUE MARTINS DOS SANTOS
ANA LUIZA PIRINEUS COSTA
DANIEL FELIPE RODRIGUES PINTO
WELINTON OPPENKOSKI
NATASHA ODARA AZEVEDO CRUZ FARINEA
BIANCA CARLONE SILVA
ALEXANDRE FIGUEIREDO ELIAS
MARCUS VINICIUS EVANGELISTA COELHO
EDSON JUNIO SOUZA DA PAIXÃO
SANDRO BARBALHO DE CARVALHO
THIERY FELLIPE OLIVEIRA MORAIS DO NASCIMENTO
SARA COSTA BENEVIDES
JULIA MOREIRA SANMARTIN SOUZA
CRISTIANO TORELLI MELLO TAVARES
LIA VITORIA RODRIGUES MARIANO
GUILHERME SABINO ALEXANDRE
NYEME VICTORIA ALEXANDRE COSTA NUNES
CAMILA BARBOSA MONTEIRO
STEFANIE TARRAGA
MARCOS PAULO SOARES CERQUEIRA
ANDERSON ROBERTO BATALHA DE LIMA
ROSELY EVARISTO NOGUEIRA
LUIZ RICARDO EVANGELISTA DA SILVA
THIAGO GOMES DA ANUNCIACAO
ROBERT SOUSA DE ARAUJO
DANIELA SEIBT
LUCAS BATISTA SILVA
MARIA FERNANDA ZGODA DE BRITO AFONSO
MARCELLE DE ARRUDA MATTOS DA SILVA
LUZIA DA SILVA NEZZO
AUSTIN JAKE WILMOT
FELIPE PARRA ALBUQUERQUE
STEPHANY GOMES XAVIER MORETE
EVERALDO LUCENA DA SILVA
RODRIGO DE GENNARO LEME
TAMAKI MATSUI
HELENA WENK HOENGEN
JUSSARA MARIA TIAGO DA SILVA
NEWTON FERNANDES FILHO
LOHAYNE OLIVEIRA ENDRES
DOUGLAS CORREIA DE SOUZA
ALVARO DOURADO BARBOSA
FABIANA MARCELINO CLAUDINO
GIAN FELIPE DE MORAES
ROBSON GOMES AUGUSTO
TAINARA LEMES SANTOS
YAGO KALIL CAMARGO
THIAGO HENRIQUE SENS
MATHEUS GONCALVES SILVA
GABRIELLE EDUARDA MARCONDES DAS GRAÇAS
JOHAN EMILIUS MARENGONI
BERNARDO ROCHA DE REZENDE
Aldori Gaudêncio Júnior
TAICHI HANGAI
MAYARA BARCELOS DA SILVA
ISAC VIANA SANTOS
ANDERSON APARECIDO DE SOUZA FILHO
CHARLES DAMIN
RENATO RUSSOMANNO DOS SANTOS
SAMUEL DOS SANTOS
DEMIAN JAVIER GONZALEZ
GABRIEL SETEMBRINO MEIRELES MACHADO
MILENA SILVA DE SOUZA
PIETRO PEREIRA DE JESUS SANTOS
MATIAS PROVENSI
EDINARA BRANCHER
FERNANDA SAGRILLO DEPINO
LAISSA SILVA ROSA
CAMILA DE PAULA BRAIT
ALINE MOSSMANN
FILIPE BAIOCO CIPRIANO
ANDERSON DE ARAUJO JUNIOR
JUMA FERNANDES DA SILVA
MAYANY CRISTINA ARAUJO DE SOUZA
ARIANNE DE CARVALHO TOLENTINO
JULLIANA VITORIA DE ANDRADE COSTA GANDRA
MATHEUS PAULO DE PAULA
VERONICA ROSE PERRY
PAULO SERGIO CARRARO
ABENILDES JOSE RODRIGUES JUNIOR
DURVAL DE SANTANA NUNES
EDNA ELISA SCHLINDWEIN
VIVIAN LIMA JORGE
JESICA CAMILA WEICH LIBARDI
BRYAN BOLL STRAGLIOTTO
LUIZOMAR DE MOURA
CAIO ALEXANDRE SANTOS DE OLIVEIRA
VANESSA JANKE
MANOEL HONORATO NETO
GIULIA HELENA IMACULADA DIAS MAGIARI
WALLACE LEANDRO DE SOUZA
ALEXEY DMITRIEVICH NALOBIN
PRISCILA OLIVEIRA HELDES
DEIVID MOTA SILVEIRA
ARIANE HELENA PINTO
DARLAN FERREIRA SOUZA
AMANDA DANIELLE DA SILVA
YAGO DUTRA OLIVEIRA
GABRIEL BERTOLINI
LUCAS AUGUSTO GONÇALVES FIGUEIREDO
DOUGLAS VIEIRA PUREZA
FILIPE STOLBERG TEIXEIRA DE CARVALHO
CAMILA ALVES LEITE
LEANDRO DESTRO DE ALMEIDA PICONI
CESAR HENRIQUE ARAUJO DE PAULA
MURILO RADKE
LUCAS EDUARDO LOH
FRANCO WILLIAN CARGNIN PAESE
RHENDRICK RESLEY ROSA
FRANCIANE RICHTER
ANIELLY FERNANDES DOS SANTOS
RIAD GARCIA PIRES RIBEIRO
MAWAN GIRARDI DOLEJAL
PEDRO UEHARA
MICHAEL SANCHEZ BOZHULEVA
JONADABE CARNEIRO DOS SANTOS
BETINA VARNIER ZARTH
LUCAS ADRIANO ARAUJO BARRETO
LYARA BATISTA MEDEIROS
BRENDA MARISSA SILVA MENEZES
MAILA SCHNARNDORF RIBEIRO
JULIANA TORO
JUDSON AMABEL NUNES DA CUNHA JUNIOR
VITOR BAESSO
SAMUEL CARAZZAI DE MORAIS NEUFELD
PAULA CAMILA MOHR
EDER FRANCIS CARBONERA
GABRIEL CARNEIRO NEGRAO
MICHELLE MARINHO PAVAO
PEDRO MEIJON DE SOUZA VILELA
RODRIGO PIMENTEL SOUZA LEÃO
JOAO GABRIEL VALIM PERES BONETTI MOSSA
JULIA KOEHLER DA SILVA
MARCOS JOSE GONCALVES JUNIOR
REBECA CAMILLE PAULA SILVA
LETICIA DE LIMA LINHARES
ISTEFANI DOS SANTOS SILVA
MARIA CLARA ALBRECHT CARVALHAES
WITALLO JUAN DE SOUSA OLIVEIRA
KIMBERLLY LACERDA GOMES DE BRITO
ADRIANO FERNANDES PROCÓPIO XAVIER CAVALCANTE
HENRIQUE GUEDES DE PAULA
JACKELINE MORENO FIGUEIREDO DOS SANTOS
KISY CESARIO DO NASCIMENTO
VINICIUS REIS COSTA
GIOVANA GASPARINI
MAKOLLYS KLAYVER MACHADO MARTI
EDUARDO D AGOSTINI WURSTER
BRUNA MORAES DOS SANTOS
JOSE ADEMAR MONTEIRO DE SANTANA
VALQUIRIA CARBONI DULLIUS
JUAN PABLO DA GAMA
FELIPE MOREIRA ROQUE
GUILHERME ARAUJO SANTANA
BRYAN LUCAS ALVES DA SILVA
GEOVANA VITORIA SILVA FREITAS
LEONARDO LUKAS DE OLIVEIRA LEODLTER
CAROLINA LEITE
CLAUDIA BUENO DA SILVA
OTAVIO HENRIQUE RODRIGUES PINTO
PRISCILA ZALEWSKI DAROIT
MAYHARA FRANCINI DA SILVA
LARISSA APARECIDA GONGRA DE SOUZA
WAGNER LUIZ COPPINI FERNANDES
JOAO VITOR ROSA ADRIANO
PRISCILA SOUZA RAMOS
ELINA MARIA RODRIGUEZ
MARIANA BUENO BLUM
KAIO FELIPE DA SILVA TIMBO
DANTHON TODZ LEME DOS SANTOS
CARLOS HENRIQUE RODRIGUES DE CASTRO
VITORIA TRINDADE FIGUEIREDO LAGE
ANA LUIZA RUDIGER
LEONARDO HENRIQUE SOUZA DE ANDRADE
MAURICIO BORGES ALMEIDA E SILVA
GLAYCE KELLY TOBIAS VASCONCELOS
ALAN PATRICK PEREIRA ARAÚJO
LAURA TAVARES CANEDO MACHADO
PEDRO HENRIQUE TOMASI
BRIONNE KIERRA BUTLER
MARA FERREIRA LEAO
RAFAEL FORSTER DA PAZ
CAMILA MESQUITA DOS SANTOS
DAVID FIGUEIREDO DOS SANTOS
ANDRE LUIS DONEG�
BRUNO TEMPONI ARAUJO
NERY PEREIRA TAMBEIRO JUNIOR
ROBERT PABLO VALENCA DOS ANJOS
FRANCYNNE APARECIDA JACINTHO
ARTHUR JAEGER
PIETRA ZANCHETTA JUKOSKI DA SILVA
FELIPE LEME SCROCCA CUNDIEV
RENAN ANDREY FORNAZARI
IAN FERREIRA DA SILVA LOPES
MAICON DOS SANTOS FRANCA
GABRIELA MARTINS SILVA
GABRIEL YAN SCHROEDER GRASSEL
DOBRIANA IVANOVA RABADZHIEVA
MATHEUS LUIZ COSTA SILVA PEDROSA
JULIA MACHADO DIAS
ARIELE CRISTINE FERREIRA YAMANE
YONKAIRA PAOLA PENA ISABEL
KASIELY CLEMENTE
MOISES MIRANDA DE SOUZA
MATHEUS DOBKOWSKI
DEBORA FONTELES TAVARES
CLEDENILSON SOUZA BATISTA
GERSON DE OLIVEIRA AMORIM
JOAO VITOR CUSTODIO
YADRIAN ESCOBAR SILVA
MAIRA CIPRIANO CLARO
MARINA MERCES DE OLIVEIRA
LUIS HENRIQUE TALLEDO SANTANA
YAEL CASTIGLIONE
GABRIELA CANDIDO DA SILVA
ARTHUR BENTO BUCZMIEJUK
DANIELA NUNES CECHETTO
BIANCA COIMBRA DA SILVA
REBECA BORGES VIANA
ISABELA LESSA DOS SANTOS
VINICIUS ELIAS DA SILVA SOUSA
MATHEUS IVANOWSKI MULLER
ANDRESSA HERMINIA GELENSKI PICUSSA
THIAGO VACCARI KAVALKIEVICZ
LUIZA VICENTE DA SILVA
LUCAS DE OLIVEIRA FONSECA
JOAO PEDRO CALVI DE AVILA
ISABELA DA SILVEIRA PAQUIARDI
EDUARDA CAROLINE ALVES DO AMARAL
DIEGO APARECIDO DOS SANTOS
GABRIEL DE OLIVEIRA COTRIM
THALES DE SOUZA FALCAO
RENAN MICHELUCCI MORALEZ
SAMUEL RODRIGUES DE SOUZA ENGEL
ANA PAULA NUNES
WALLACE DOS SANTOS
CARLOS EDUARDO SCHAWNKE
BRENO SILVA DO NASCIMENTO
JULIA GAMBATTO KUDIESS
MURILLO BRUNO ALVES DA SILVA
ALINE SEGATO MAESTRI
SUELEN FERNANDA SANTANA PINTO
GLAUBER MORENO MEDEIROS DA SILVA SOUZA
LUIZ FERNANDO ANDRADA DANIEL
YORDAN BISSET ASTENGO
STEPHANY MIGUEL MARIA
LAYS FERNANDA OLIVEIRA DE FREITAS
